!a*!b*!c*!d,!A!B!C!D,0x0001,4
!a*c*d+!a*!b*!c*!d+!a*b*d,!A!B!C!D + !A* C* D + !A* B* D,0x00A9,10
!a*d,!AD,0x2,2
!a*d+!a*!b*!c,!A*!B*!C + !A* D,0x00AB,5
!a*!b*c+!a*b*d,!A*!B* C + !A* B* D,0x00AC,6
!a*c*d+!a*!b*!d+!a*b*d,!A*!B*!D + !A* B* D + !A*!B* C,0x00AD,9
!a*d+!a*!b*c,!A* D + !A*!B* C,0x00AE,5
!a*d+!a*!b,!A*!B + !A* D,0x0B,4
!a*c*d+!a*!b*c+!a*b*!c,!A*!B* C + !A* B*!C + !A* C* D,0x00BC,9
!a*c*d+!a*!c*!d+!a*!b*!d+!a*b*d,!A*!C*!D + !A*!B* C + !A* B* D,0x00BD,9
!a*d+!a*!b*c+!a*b*!c,!A* D + !A*!B* C + !A* B*!C,0x00BE,8
!a*d+!a*!c+!a*!b,!A*!B + !A*!C + !A* D,0x00BF,6
!a*c*d+!a*b*c+!a*b*d,!A* C* D + !A* B* D + !A* B* C,0x00E8,9
!a*c*d+!a*!b*!c*!d+!a*b*c+!a*b*d,!A!B!C!D + !A* C* D + !A* B* D + !A* B* C,0x00E9,13
!a*d+!a*b*c,!A* D + !A* B* C,0x00EA,5
!a*d+!a*!b*!c+!a*b*c,!A*!B*!C + !A* D + !A* B* C,0x00EB,8
!a*c+!a*d,!A* D + !A* C,0x0E,4
!a*c+!a*d+!a*!b,!A*!B + !A* D + !A* C,0x00EF,6
!a*b+!a*c+!a*d,!A* D + !A* C + !A* B,0x00FE,6
!a,!A,0x1,1
!a*!b*!c*d+!a*!b*c*!d+!a*b*!c*!d+a*!b*!c*!d,!A!B!CD + !A!BC!D + !AB!C!D + A!B!C!D,0x0116,16
!b*!c*!d+!a*!c*!d+!a*!b*!d+!a*!b*!c,!A*!B*!C + !A*!B*!D + !A*!C*!D + !B*!C*!D,0x0117,12
!a*!b*c*d+!a*b*!c*!d+a*!b*!c*!d,!A!BCD + !AB!C!D + A!B!C!D,0x0118,12
!b*!c*!d+!a*!c*!d+!a*!b*c*d,!A!BCD + !A*!C*!D + !B*!C*!D,0x0119,10
!a*!b*d+!a*b*!c*!d+a*!b*!c*!d,!A*!B* D + !AB!C!D + A!B!C!D,0x011A,11
!b*!c*!d+!a*!c*!d+!a*!b*d,!A*!B* D + !A*!C*!D + !B*!C*!D,0x011B,9
!a*!b*c+!a*!b*d+!a*b*!c*!d+a*!b*!c*!d,!A*!B* D + !A*!B* C + !AB!C!D + A!B!C!D,0x011E,14
!b*!c*!d+!a*!c*!d+!a*!b,!A*!B + !A*!C*!D + !B*!C*!D,0x011F,8
!a*!b*c*d+!a*b*!c*d+a*!b*!c*!d,!A!BCD + !AB!CD + A!B!C!D,0x0128,12
!b*!c*!d+!a*!b*c*d+!a*b*!c*d,!B*!C*!D + !A!BCD + !AB!CD,0x0129,11
!a*!c*d+!a*!b*d+a*!b*!c*!d,!A*!B* D + !A*!C* D + A!B!C!D,0x012A,10
!b*!c*!d+!a*!c*d+!a*!b*d,!A*!B* D + !A*!C* D + !B*!C*!D,0x012B,9
!a*!b*c+!a*b*!c*d+a*!b*!c*!d,!A*!B* C + !AB!CD + A!B!C!D,0x012C,11
!b*!c*!d+!a*!b*c+!a*b*!c*d,!A*!B* C + !AB!CD + !B*!C*!D,0x012D,10
!a*!c*d+!a*!b*c+a*!b*!c*!d,!A*!B* C + !A*!C* D + A!B!C!D,0x012E,10
!b*!c*!d+!a*!c*d+!a*!b,!A*!B + !A*!C* D + !B*!C*!D,0x012F,8
!a*!b*c+!a*b*!c+a*!b*!c*!d,!A*!B* C + !A* B*!C + A!B!C!D,0x013C,10
!b*!c*!d+!a*!b*c+!a*b*!c,!A*!B* C + !A* B*!C + !B*!C*!D,0x013D,9
!a*!c*d+!a*!b*c+!a*b*!c+a*!b*!c*!d,!A*!B* C + !A* B*!C + A!B!C!D + !A*!C* D,0x013E,13
!b*!c*!d+!a*!c+!a*!b,!A*!B + !A*!C + !B*!C*!D,0x013F,7
!a*!b*c*d+!a*b*!c*d+!a*b*c*!d+a*!b*!c*!d,!A!BCD + !AB!CD + !ABC!D + A!B!C!D,0x0168,16
!b*!c*!d+!a*!b*c*d+!a*b*!c*d+!a*b*c*!d,!B*!C*!D + !A!BCD + !AB!CD + !ABC!D,0x0169,15
!a*!c*d+!a*!b*d+!a*b*c*!d+a*!b*!c*!d,!A*!B* D + !A*!C* D + !ABC!D + A!B!C!D,0x016A,14
!b*!c*!d+!a*!c*d+!a*!b*d+!a*b*c*!d,!A*!B* D + !A*!C* D + !ABC!D + !B*!C*!D,0x016B,13
!a*c*!d+!a*!c*d+!a*!b*d+a*!b*!c*!d,!A*!C* D + !A* C*!D + A!B!C!D + !A*!B* C,0x016E,13
!b*!c*!d+!a*!c*d+!a*c*!d+!a*!b,!A*!B + !A*!C* D + !A* C*!D + !B*!C*!D,0x016F,11
!a*c*!d+!a*!c*d+!a*!b*d+!a*b*!d+a*!b*!c*!d,A!B!C!D + !A* C*!D + !A*!B* D + !A* B*!C,0x017E,13
!b*!c*!d+!a*!d+!a*!c+!a*!b,!A*!B + !A*!C + !A*!D + !B*!C*!D,0x017F,9
!a*b*c*d+a*!b*!c*!d,!ABCD + A!B!C!D,0x0180,8
!b*!c*!d+!a*b*c*d,!B*!C*!D + !ABCD,0x0181,7
!a*!b*!c*d+!a*b*c*d+a*!b*!c*!d,!A!B!CD + !ABCD + A!B!C!D,0x0182,12
!b*!c*!d+!a*!b*!c+!a*b*c*d,!A*!B*!C + !ABCD + !B*!C*!D,0x0183,10
!a*!b*!c*d+!a*!b*c*!d+!a*b*c*d+a*!b*!c*!d,!A!B!CD + !A!BC!D + !ABCD + A!B!C!D,0x0186,16
!b*!c*!d+!a*!b*!d+!a*!b*!c+!a*b*c*d,!A*!B*!C + !A*!B*!D + !ABCD + !B*!C*!D,0x0187,13
!a*c*d+a*!b*!c*!d,!A* C* D + A!B!C!D,0x0188,7
!b*!c*!d+!a*c*d,!B*!C*!D + !A* C* D,0x0189,6
!a*c*d+!a*!b*d+a*!b*!c*!d,!A*!B* D + !A* C* D + A!B!C!D,0x018A,10
!b*!c*!d+!a*c*d+!a*!b*d,!A* C* D + !B*!C*!D + !A*!B*!C,0x018B,9
!a*c*d+!a*!b*c+!a*!b*d+a*!b*!c*!d,!A*!B* D + !A*!B* C + !A* C* D + A!B!C!D,0x018E,13
!b*!c*!d+!a*c*d+!a*!b,!A*!B + !A* C* D + !B*!C*!D,0x018F,8
!a*!b*!c*d+!a*!b*c*!d+!a*b*!c*!d+!a*b*c*d+a*!b*!c*!d,!A!B!CD + !A!BC!D + !AB!C!D + !ABCD + A!B!C!D,0x0196,20
!b*!c*!d+!a*!c*!d+!a*!b*!d+!a*!b*!c+!a*b*c*d,!A*!B*!C + !A*!B*!D + !A*!C*!D + !ABCD + !B*!C*!D,0x0197,16
!a*c*d+!a*b*!c*!d+a*!b*!c*!d,!A* C* D + !AB!C!D + A!B!C!D,0x0198,11
!b*!c*!d+!a*!c*!d+!a*c*d,!A* C* D + !A*!C*!D + !B*!C*!D,0x0199,9
!a*c*d+!a*!b*d+!a*b*!c*!d+a*!b*!c*!d,!A*!B* D + !AB!C!D + !A* C* D + A!B!C!D,0x019A,14
!b*!c*!d+!a*!c*!d+!a*c*d+!a*!b*d,!A*!C*!D + !A* C* D + !B*!C*!D + !A*!B*!C,0x019B,12
!a*c*d+!a*!b*c+!a*!b*d+!a*b*!c*!d+a*!b*!c*!d,!A*!B* D + !A*!B* C + !AB!C!D + !A* C* D + A!B!C!D,0x019E,17
!b*!c*!d+!a*!c*!d+!a*c*d+!a*!b,!A*!B + !A*!C*!D + !A* C* D + !B*!C*!D,0x019F,11
!a*c*d+!a*b*d+a*!b*!c*!d,!A* C* D + !A* B* D + A!B!C!D,0x01A8,10
!b*!c*!d+!a*c*d+!a*b*d,!B*!C*!D + !A* C* D + !A* B* D,0x01A9,9
!a*d+a*!b*!c*!d,!A* D + A!B!C!D,0x01AA,6
!b*!c*!d+!a*d,!A* D + !B*!C*!D,0x01AB,5
!a*!b*c+!a*b*d+a*!b*!c*!d,!A*!B* C + !A* B* D + A!B!C!D,0x01AC,10
!b*!c*!d+!a*c*d+!a*!b*!d+!a*b*d,!A* B* D + !B*!C*!D + !A*!B* C,0x01AD,9
!a*d+!a*!b*c+a*!b*!c*!d,!A* D + !A*!B* C + A!B!C!D,0x01AE,9
!b*!c*!d+!a*d+!a*!b,!A*!B + !A* D + !B*!C*!D,0x01AF,7
!a*c*d+!a*!b*c+!a*b*!c+a*!b*!c*!d,!A*!B* C + !A* B*!C + A!B!C!D + !A* C* D,0x01BC,13
!b*!c*!d+!a*!c*!d+!a*c*d+!a*!b*!d+!a*b*d,!B*!C*!D + !A*!C*!D + !A*!B* C + !A* B* D,0x01BD,12
!a*d+!a*!b*c+!a*b*!c+a*!b*!c*!d,!A* D + !A*!B* C + !A* B*!C + A!B!C!D,0x01BE,12
!b*!c*!d+!a*d+!a*!c+!a*!b,!A*!B + !A*!C + !A* D + !B*!C*!D,0x01BF,9
!a*c*d+!a*b*c+!a*b*d+a*!b*!c*!d,!A* C* D + !A* B* D + !A* B* C + A!B!C!D,0x01E8,13
!b*!c*!d+!a*c*d+!a*b*c+!a*b*d,!B*!C*!D + !A* C* D + !A* B* D + !A* B* C,0x01E9,12
!a*d+!a*b*c+a*!b*!c*!d,!A* D + !A* B* C + A!B!C!D,0x01EA,9
!b*!c*!d+!a*d+!a*b*c,!A* D + !A* B* C + !B*!C*!D,0x01EB,8
!a*c+!a*d+a*!b*!c*!d,!A* D + !A* C + A!B!C!D,0x01EE,8
!b*!c*!d+!a*c+!a*d,!A* D + !A* C + !B*!C*!D,0x01EF,7
!a*b+!a*c+!a*d+a*!b*!c*!d,!A* D + !A* C + !A* B + A!B!C!D,0x01FE,10
!b*!c*!d+!a,!A + !B*!C*!D,0x01FF,4
!a*!b*c*d+!a*b*!c*d+a*!b*!c*d,!A!BCD + !AB!CD + A!B!CD,0x0228,12
!a*!b*!c*!d+!a*!b*c*d+!a*b*!c*d+a*!b*!c*d,!A!B!C!D + !A!BCD + !AB!CD + A!B!CD,0x0229,16
!b*!c*d+!a*!c*d+!a*!b*d,!A*!B* D + !A*!C* D + !B*!C* D,0x022A,9
!b*!c*d+!a*!c*d+!a*!b*d+!a*!b*!c,!A*!B*!C + !A*!B* D + !A*!C* D + !B*!C* D,0x022B,12
!a*!b*c+!a*b*!c*d+a*!b*!c*d,!A*!B* C + !AB!CD + A!B!CD,0x022C,11
!a*!b*c+!a*!b*!d+!a*b*!c*d+a*!b*!c*d,!A*!B*!D + !A*!B* C + !AB!CD + A!B!CD,0x022D,14
!b*!c*d+!a*!c*d+!a*!b*c,!A*!B* C + !A*!C* D + !B*!C* D,0x022E,9
!b*!c*d+!a*!c*d+!a*!b,!A*!B + !A*!C* D + !B*!C* D,0x022F,8
!a*!b*c+!a*b*!c+a*!b*!c*d,!A*!B* C + !A* B*!C + A!B!CD,0x023C,10
!a*!c*!d+!a*!b*c+!a*b*!c+a*!b*!c*d,!A*!B* C + !A* B*!C + A!B!CD + !A*!C*!D,0x023D,13
!b*!c*d+!a*!b*c+!a*b*!c,!A*!B* C + !A* B*!C + !B*!C* D,0x023E,9
!b*!c*d+!a*!c+!a*!b,!A*!B + !A*!C + !B*!C* D,0x023F,7
!a*b*c*!d+a*!b*!c*d,!ABC!D + A!B!CD,0x0240,8
!a*!b*!c*!d+!a*b*c*!d+a*!b*!c*d,!A!B!C!D + !ABC!D + A!B!CD,0x0241,12
!b*!c*d+!a*b*c*!d,!B*!C* D + !ABC!D,0x0242,7
!b*!c*d+!a*!b*!c+!a*b*c*!d,!A*!B*!C + !ABC!D + !B*!C* D,0x0243,10
!b*!c*d+!a*c*!d,!B*!C* D + !A* C*!D,0x0246,6
!b*!c*d+!a*c*!d+!a*!b*!d,!A* C*!D + !B*!C* D + !A*!B*!C,0x0247,9
!a*!b*c*d+!a*b*c*!d+a*!b*!c*d,!A!BCD + !ABC!D + A!B!CD,0x0248,12
!a*!b*!c*!d+!a*!b*c*d+!a*b*c*!d+a*!b*!c*d,!A!B!C!D + !A!BCD + !ABC!D + A!B!CD,0x0249,16
!b*!c*d+!a*!b*d+!a*b*c*!d,!A*!B* D + !ABC!D + !B*!C* D,0x024A,10
!b*!c*d+!a*!b*d+!a*!b*!c+!a*b*c*!d,!A*!B*!C + !A*!B* D + !ABC!D + !B*!C* D,0x024B,13
!b*!c*d+!a*c*!d+!a*!b*d,!A* C*!D + !B*!C* D + !A*!B* D,0x024E,9
!b*!c*d+!a*c*!d+!a*!b,!A*!B + !A* C*!D + !B*!C* D,0x024F,8
!a*c*!d+!a*b*!d+a*!b*!c*d,!A* C*!D + !A* B*!D + A!B!CD,0x0254,10
!a*!d+a*!b*!c*d,!A*!D + A!B!CD,0x0255,6
!b*!c*d+!a*c*!d+!a*b*!d,!B*!C* D + !A* C*!D + !A* B*!D,0x0256,9
!b*!c*d+!a*!d,!A*!D + !B*!C* D,0x0257,5
!a*!b*c*d+!a*b*!d+a*!b*!c*d,!A!BCD + !A* B*!D + A!B!CD,0x0258,11
!a*!c*!d+!a*!b*c*d+!a*b*!d+a*!b*!c*d,!A*!C*!D + !A!BCD + !A* B*!D + A!B!CD,0x0259,14
!b*!c*d+!a*!b*d+!a*b*!d,!A*!B* D + !A* B*!D + !B*!C* D,0x025A,9
!b*!c*d+!a*!c*!d+!a*!b*d+!a*b*!d,!A*!B* D + !A* B*!D + !B*!C* D + !A*!B*!C,0x025B,12
!a*!b*c+!a*b*!d+a*!b*!c*d,!A*!B* C + !A* B*!D + A!B!CD,0x025C,10
!a*!d+!a*!b*c+a*!b*!c*d,!A*!D + !A*!B* C + A!B!CD,0x025D,9
!b*!c*d+!a*c*!d+!a*!b*d+!a*b*!d,!A* B*!D + !B*!C* D + !A*!B* C,0x025E,9
!b*!c*d+!a*!d+!a*!b,!A*!B + !A*!D + !B*!C* D,0x025F,7
!a*!b*c*d+!a*b*!c*d+!a*b*c*!d+a*!b*!c*d,!A!BCD + !AB!CD + !ABC!D + A!B!CD,0x0268,16
!a*!b*!c*!d+!a*!b*c*d+!a*b*!c*d+!a*b*c*!d+a*!b*!c*d,!A!B!C!D + !A!BCD + !AB!CD + !ABC!D + A!B!CD,0x0269,20
!b*!c*d+!a*!c*d+!a*!b*d+!a*b*c*!d,!A*!B* D + !A*!C* D + !ABC!D + !B*!C* D,0x026A,13
!b*!c*d+!a*!c*d+!a*!b*d+!a*!b*!c+!a*b*c*!d,!A*!B*!C + !A*!B* D + !A*!C* D + !ABC!D + !B*!C* D,0x026B,16
!a*c*!d+!a*!b*c+!a*b*!c*d+a*!b*!c*d,!A*!B* C + !AB!CD + !A* C*!D + A!B!CD,0x026C,14
!a*c*!d+!a*!b*c+!a*!b*!d+!a*b*!c*d+a*!b*!c*d,!A*!B*!D + !A*!B* C + !AB!CD + !A* C*!D + A!B!CD,0x026D,17
!b*!c*d+!a*!c*d+!a*c*!d+!a*!b*d,!A*!C* D + !A* C*!D + !B*!C* D + !A*!B* D,0x026E,12
!b*!c*d+!a*!c*d+!a*c*!d+!a*!b,!A*!B + !A*!C* D + !A* C*!D + !B*!C* D,0x026F,11
!a*c*!d+!a*!b*c+!a*b*!c+a*!b*!c*d,!A*!B* C + !A* B*!C + A!B!CD + !A* C*!D,0x027C,13
!a*!d+!a*!b*c+!a*b*!c+a*!b*!c*d,!A*!D + !A*!B* C + !A* B*!C + A!B!CD,0x027D,12
!b*!c*d+!a*!c*d+!a*c*!d+!a*!b*d+!a*b*!d,!B*!C* D + !A*!C* D + !A*!B* C + !A* B*!D,0x027E,12
!b*!c*d+!a*!d+!a*!c+!a*!b,!A*!B + !A*!C + !A*!D + !B*!C* D,0x027F,9
!a*b*c*d+a*!b*!c*d,!ABCD + A!B!CD,0x0280,8
!a*!b*!c*!d+!a*b*c*d+a*!b*!c*d,!A!B!C!D + !ABCD + A!B!CD,0x0281,12
!b*!c*d+!a*b*c*d,!B*!C* D + !ABCD,0x0282,7
!b*!c*d+!a*!b*!c+!a*b*c*d,!A*!B*!C + !ABCD + !B*!C* D,0x0283,10
!a*!b*c*!d+!a*b*c*d+a*!b*!c*d,!A!BC!D + !ABCD + A!B!CD,0x0284,12
!a*!b*!d+!a*b*c*d+a*!b*!c*d,!A*!B*!D + !ABCD + A!B!CD,0x0285,11
!b*!c*d+!a*!b*c*!d+!a*b*c*d,!B*!C* D + !A!BC!D + !ABCD,0x0286,11
!b*!c*d+!a*!b*!d+!a*b*c*d,!A*!B*!D + !ABCD + !B*!C* D,0x0287,10
!a*c*d+a*!b*!c*d,!A* C* D + A!B!CD,0x0288,7
!a*c*d+!a*!b*!c*!d+a*!b*!c*d,!A!B!C!D + !A* C* D + A!B!CD,0x0289,11
!b*!c*d+!a*c*d,!A* C* D + !B*!C* D,0x028A,6
!b*!c*d+!a*c*d+!a*!b*!c,!A*!B*!C + !A* C* D + !B*!C* D,0x028B,9
!a*c*d+!a*!b*c+a*!b*!c*d,!A*!B* C + !A* C* D + A!B!CD,0x028C,10
!a*c*d+!a*!b*!d+a*!b*!c*d,!A*!B*!D + !A* C* D + A!B!CD,0x028D,10
!b*!c*d+!a*c*d+!a*!b*c,!A*!B* C + !A* C* D + !B*!C* D,0x028E,9
!b*!c*d+!a*c*d+!a*!b,!A*!B + !A* C* D + !B*!C* D,0x028F,8
!a*!b*c*!d+!a*b*!c*!d+!a*b*c*d+a*!b*!c*d,!A!BC!D + !AB!C!D + !ABCD + A!B!CD,0x0294,16
!a*!c*!d+!a*!b*!d+!a*b*c*d+a*!b*!c*d,!A*!B*!D + !A*!C*!D + !ABCD + A!B!CD,0x0295,14
!b*!c*d+!a*!b*c*!d+!a*b*!c*!d+!a*b*c*d,!B*!C* D + !A!BC!D + !AB!C!D + !ABCD,0x0296,15
!b*!c*d+!a*!c*!d+!a*!b*!d+!a*b*c*d,!A*!B*!D + !A*!C*!D + !ABCD + !B*!C* D,0x0297,13
!a*c*d+!a*b*!c*!d+a*!b*!c*d,!A* C* D + !AB!C!D + A!B!CD,0x0298,11
!a*!c*!d+!a*c*d+a*!b*!c*d,!A*!C*!D + !A* C* D + A!B!CD,0x0299,10
!b*!c*d+!a*c*d+!a*b*!c*!d,!AB!C!D + !A* C* D + !B*!C* D,0x029A,10
!b*!c*d+!a*!c*!d+!a*c*d,!A*!C*!D + !A* C* D + !B*!C* D,0x029B,9
!a*c*d+!a*!b*c+!a*b*!c*!d+a*!b*!c*d,!A*!B* C + !AB!C!D + !A* C* D + A!B!CD,0x029C,14
!a*c*d+!a*!c*!d+!a*!b*!d+a*!b*!c*d,!A*!C*!D + !A* C* D + A!B!CD + !A*!B*!D,0x029D,13
!b*!c*d+!a*c*d+!a*!b*c+!a*b*!c*!d,!A*!B* C + !AB!C!D + !A* C* D + !B*!C* D,0x029E,13
!b*!c*d+!a*!c*!d+!a*c*d+!a*!b,!A*!B + !A*!C*!D + !A* C* D + !B*!C* D,0x029F,11
!a*c*d+!a*b*d+a*!b*!c*d,!A* C* D + !A* B* D + A!B!CD,0x02A8,10
!a*c*d+!a*!b*!c*!d+!a*b*d+a*!b*!c*d,!A!B!C!D + !A* C* D + !A* B* D + A!B!CD,0x02A9,14
!b*!c*d+!a*d,!A* D + !B*!C* D,0x02AA,5
!b*!c*d+!a*d+!a*!b*!c,!A*!B*!C + !A* D + !B*!C* D,0x02AB,8
!a*!b*c+!a*b*d+a*!b*!c*d,!A*!B* C + !A* B* D + A!B!CD,0x02AC,10
!a*c*d+!a*!b*!d+!a*b*d+a*!b*!c*d,!A*!B*!D + !A* B* D + A!B!CD + !A*!B* C,0x02AD,13
!b*!c*d+!a*d+!a*!b*c,!A*!B* C + !A* D + !B*!C* D,0x02AE,8
!b*!c*d+!a*d+!a*!b,!A*!B + !A* D + !B*!C* D,0x02AF,7
!a*c*d+!a*!b*c+!a*b*!c+a*!b*!c*d,!A*!B* C + !A* B*!C + A!B!CD + !A* C* D,0x02BC,13
!a*c*d+!a*!c*!d+!a*!b*!d+!a*b*d+a*!b*!c*d,A!B!CD + !A*!C*!D + !A*!B* C + !A* B* D,0x02BD,13
!b*!c*d+!a*d+!a*!b*c+!a*b*!c,!A*!B* C + !A* B*!C + !A* D + !B*!C* D,0x02BE,11
!b*!c*d+!a*d+!a*!c+!a*!b,!A*!B + !A*!C + !A* D + !B*!C* D,0x02BF,9
!a*b*c+a*!b*!c*d,!A* B* C + A!B!CD,0x02C0,7
!a*!b*!c*!d+!a*b*c+a*!b*!c*d,!A!B!C!D + !A* B* C + A!B!CD,0x02C1,11
!b*!c*d+!a*b*c,!B*!C* D + !A* B* C,0x02C2,6
!b*!c*d+!a*!b*!c+!a*b*c,!A*!B*!C + !A* B* C + !B*!C* D,0x02C3,9
!a*c*!d+!a*b*c+a*!b*!c*d,!A* C*!D + !A* B* C + A!B!CD,0x02C4,10
!a*!b*!d+!a*b*c+a*!b*!c*d,!A*!B*!D + !A* B* C + A!B!CD,0x02C5,10
!b*!c*d+!a*c*!d+!a*b*c,!B*!C* D + !A* C*!D + !A* B* C,0x02C6,9
!b*!c*d+!a*!b*!d+!a*b*c,!A* B* C + !B*!C* D + !A*!B*!D,0x02C7,9
!a*c*d+!a*b*c+a*!b*!c*d,!A* C* D + !A* B* C + A!B!CD,0x02C8,10
!a*c*d+!a*!b*!c*!d+!a*b*c+a*!b*!c*d,!A!B!C!D + !A* C* D + !A* B* C + A!B!CD,0x02C9,14
!b*!c*d+!a*c*d+!a*b*c,!A* B* C + !B*!C* D + !A*!B* D,0x02CA,9
!b*!c*d+!a*c*d+!a*!b*!c+!a*b*c,!A*!B*!C + !A* B* C + !B*!C* D + !A*!B* D,0x02CB,12
!a*c+a*!b*!c*d,!A* C + A!B!CD,0x02CC,6
!a*c+!a*!b*!d+a*!b*!c*d,!A*!B*!D + !A* C + A!B!CD,0x02CD,9
!b*!c*d+!a*c,!A* C + !B*!C* D,0x02CE,5
!b*!c*d+!a*c+!a*!b,!A*!B + !A* C + !B*!C* D,0x02CF,7
